Anyone can do that.	任何人都可以做到。
Tom fell asleep in class.	湯姆在課堂上睡着了。
Tom can't get his car started.	湯姆沒法發動他的車。
This is a very beautiful flower.	這是一朵非常美麗的花。
Best wishes from all of us.	我們所有人都祝福你。
My aunt gave me a camera.	我的阿姨給了我一臺攝影機。
I don't understand music.	我不懂音樂。
I wish I was young again.	我希望我再年輕一次。
I'm not guilty of anything.	我沒有對任何事感到有罪。
A bird can fly.	鳥會飛。
His office is near the train station.	他的辦公室離車站很近。
A swarm of hornets attacked the children.	一窩黃蜂襲擊了孩子們。
She stirred her coffee with a teaspoon.	她用茶匙攪她的咖啡。
When are you going to quit smoking?	你何時要戒煙?
He ran into the room.	他跑進房間內。
What are we having for dinner?	我們晚飯吃什麼？
You'll get lost.	你會迷路的。
My cell phone has a built-in digital camera.	我的手機有內建的數位相機。
Hold your horses, young man.	別那麼猴急，年輕人。
Six divided by two equals three.	六除以二得三。
I am able to drive a car.	我會開車。
I could answer all the questions.	我可以回答所有問題。
Can you do bookkeeping?	你會記帳嗎?
They're all the same size.	他們都是一樣的大小。
What do you two do for fun?	你們兩個做了什麼有趣的事情呢？
No one lives in this building.	沒有人住在這棟樓裏。
I'm sick and tired of hamburgers.	我對漢堡感到厭煩了。
They married when they were young.	他們在還很年輕的時候就結婚了。
I would have liked to come with you, but I didn't have time.	我想和你一起去，但是我沒有時間。
Academic fraud is more common than you might think.	學術造假比你想象的普遍。
That's exactly what I wanted to see happen.	這剛好是我想看到它發生的。
I'm afraid there isn't any coffee left.	恐怕已經沒有咖啡了。
While I was reading in bed last night, I fell asleep with the light on.	我昨晚在牀上看書的時候點着燈就睡了。
He'll be back home soon.	他很快就會回家。
We sometimes swim in the lake.	我們偶爾在湖裡游泳。
Charles Lindbergh made the first solo flight across the Atlantic Ocean in 1927.	Charles Lindbergh於1927年成功完成了第一次獨自飛越大西洋。
His shirt was stained with sauce.	他的襯衫被醬汁弄髒了。
I am just going for a walk.	我只是去散散步。
We found the front door locked.	我們發現前門被鎖上了。
He is so heartless.	他是這麼的無情。
I'm playing a TV game.	我在玩電視遊樂器。
Let's go now.	我們現在去吧。
Control is everything.	控制就是一切。
Swimming is easy.	游泳很容易。
He held a package under his arm.	他挾著一個包裹。
She looks pretty in that dress.	她穿上那件衣服看起來很漂亮。
Why are you here?	你為什麼在這？
She asked us to leave her alone.	她要求我們別吵她。
Thanks very much for having me to dinner the other night.	謝謝那天晚上請我吃了飯。
After they argued, they didn't speak to each other for a week.	他們爭吵後，一週都沒有再說話。
Tom slipped out of the classroom.	湯姆溜出了教室。
You ought to ask for your teacher's permission.	你應該請求你的老師允許。
The clock has stopped.	時鐘已經停止了。
When did your friend leave for America?	你朋友是什麼時候出發去美國的？
They grow flowers in the garden.	他們在花園裡種花。
She told me an interesting story.	她給我講了一個有趣的故事。
I received her letter yesterday.	昨天我收到了她的信。
I slept on the bus.	我在公交車上睡覺了。
Stand aside.	一邊站着。
By the year 2020, the population of our city will have doubled.	在2020年以前，我們的城市的人口將增加一倍。
Tom has been really busy recently.	湯姆最近相當忙。
The swimmers were numb with cold.	游泳選手們凍僵了。
Many moons orbit around Saturn.	許多衛星繞著土星運行。
I spent the whole day in reading the novel.	我一整天都在看這本小說。
Volcanic ash disrupted air travel.	火山灰阻礙航運。
I'm surprised that you don't know about their marriage.	我很驚訝，你竟然不知道他們結婚。
Mom, I'm hungry.	媽媽，我肚子餓了。
He earned his living as a teacher.	他以當老師為生。
She loves chocolate, too.	她也喜歡巧克力。
It has been cold since yesterday.	從昨天開始變冷了​​。
She must have been sick.	她一定是生病了。
I'm not very good at swimming.	我不是很擅長游泳。
Switch on the light. I can't see anything.	把燈打開。我什麼都看不見了。
Do you drink coffee?	你喝咖啡嗎?
I promise I'll do that tomorrow.	我保證明天就做
Some people never grow up.	有些人永遠也長不大。
I will write to you soon.	我會盡快寫信給你。
I'm starving!	我餓死了！
This place has a mysterious atmosphere.	這個地方有一種神祕的氣氛。
It takes 165 years for Neptune to orbit around the sun.	海王星繞行太陽一週要花一百六十五年。
The curtain fell.	謝幕了。
I expect you to be punctual.	我期待你能準時。
While reading a book, I fell asleep.	我看書的時候睡着了。
You shouldn't have eaten so much ice cream.	你不應該吃這麼多冰淇淋。
You have a point there.	喔！你提到一個重點了。
Quit gambling.	戒掉賭博吧。
Cows provide us with milk.	奶牛爲我們提供牛奶。
She enjoyed herself at the concert.	她在音樂會上玩得很開心。
She gave me a strange look.	她奇怪地看了我一眼。
I am an optimist by nature.	我天生是一個樂觀主義者。
He erased his speech from the tape.	他把他的那段話從磁帶裏刪除了。
Do you have a larger size?	你有比較大的尺寸嗎？
Do they love each other?	他們彼此相愛嗎?
Halley's Comet will come back in 2061.	哈雷彗星將在2061回來。
I'm not living with him anymore.	我不再跟他一起生活了。
My aunt brought me some flowers.	我阿姨給我帶來了一些花。
I don't have a computer at home.	我家沒有電腦。
I returned the book to the library.	我把書還給圖書館。
Who can tell the difference?	誰能說清不同點？
I'll eat here.	我會在這裡吃飯。
Tom needed treatment.	湯姆需要接受治療。
She must still be in her twenties.	她一定還只是二十幾歲。
I wish Tom were my younger brother.	但願湯姆是我的弟弟。
Do you eat out often?	你常常外食嗎？
I can do it alone.	我可以獨自做。
He is very stingy with his money.	他非常吝嗇。
Give me a bottle of wine.	給我一瓶葡萄酒。
I really want to speak English fluently.	我很想流利地說英語。
The Oscar ceremonies are Hollywood's biggest extravaganza.	奧斯卡頒獎典禮，是好萊塢最盛大的活動。
Do you read French every day?	你每天讀法語嗎？
How much is the rent per month?	一個月的租金多少？
The clock stopped.	鐘停了。
Who is to blame for the accident?	誰該為這次事故負責？
I will give you a bike for your birthday.	你生日的時候，我送你一輛自行車。
Deal with them.	解決他們。
She squeezed the juice from many oranges.	她用了許多柳橙來榨汁。
I've never seen that guy before.	我從沒看過那個人。
It's obvious why his stomach hurts.	他為什麼會胃痛的原因很明顯。
I wish I had a better memory.	但願我有好一點的記憶力。
I don't feel like studying English today.	我今天不想學習英語。
Sorry to have kept you waiting.	對不起讓你一直等。
I don't think that she will come.	我不認為她會來。
No student went to the party.	沒有學生去參加派對。
The roof was damaged by the storm.	屋頂被暴風雨損壞了。
Today our artificial satellites are revolving around the earth.	今天我們的人造衛星正在環繞地球運轉。
He teaches English to his friends.	他對他的朋友教英語。
Have you turned in your report?	你交報告了嗎？
He wants a book to read.	他想找本書來讀。
Sorry it took me so long to write to you.	對不起, 我過了這麼長的時間纔回你的信。
They forgot to lock the door.	他們忘了鎖門。
Have you answered that letter yet?	你回信了嗎？
Tom told me he had a right to see it.	湯姆告訴我他有權看它。
She really does like animals.	她確實喜歡動物。
What's the climate there like?	那裏的氣候怎麼樣?
I like children. That's why I became a teacher.	我喜歡孩子。這就是爲什麼我成爲了教師。
Here are some pictures.	這裡有一些圖片。
May I have a glass of milk, please?	請問能給我一杯牛奶嗎？
I'll be at home in the morning.	我早上會在家。
Will you show me your passport, please?	能否請您給我看一下您的護照？
My father died of lung cancer.	我的父親死於肺癌。
How did you enjoy the concert?	你有多喜歡這場音樂會？
This is exactly what I wanted.	我想要的就是這個。
That's my problem.	這是我的問題。
Please let me go.	請允許我去。
I've missed another chance.	我又失去了一次機會。
I have a cough and a little fever.	我咳嗽，還有點發燒。
I managed to get there in time.	我設法及時到那裡。
The lock is broken.	鎖壞了。
Half of these apples are rotten.	這些蘋果的其中一半都爛了。
I changed trains at Tokyo Station.	我在東京站換火車。
She's in the garden planting roses.	她在花園裏種玫瑰。
Tom can't tell Mary his real feelings.	湯姆不能把他的真實感受告訴瑪麗。
The guests are in the kitchen.	客人們在廚房裏。
Would you like some of those pictures?	你想要那些照片中的一些嗎?
I appreciate your cooperation.	我感謝您的合作。
I like swimming, but I don't like to swim here.	我喜歡游泳，但我不想在這裏遊。
I don't mind if it's a little cold.	稍微冷一點沒關係。
The weatherman says there is a storm on the way.	氣象學家說會有暴風雨。
How about a drink after the game?	比賽結束後喝一杯怎麼樣？
After you have read it, give the book back to me.	在你讀完後，把書還給我。
I have a new car.	我有輛新車。
I graduated from high school last year.	去年我從高中畢業了。
Keep going straight.	繼續直行。
Smoking is prohibited.	禁止吸菸。
Get them before they get us.	先下手爲強，後下手遭殃。
Tom went into the kitchen and poured himself a cup of coffee.	湯姆進了廚房，給自己倒了杯咖啡。
I think that's awful.	我看那糟透了。
Orange juice, please.	柳橙汁，麻煩你。
I continued singing.	我繼續唱歌。
They rescued the boy from drowning.	他們救了這個落水的男孩。
Tom is on the go day and night.	湯姆日夜兼程。
You must be careful of the traffic when you cross the street.	橫穿馬路時你要留心。
He plays golf two or three times a month.	他一個月玩兩到三次高爾夫。
Tom slept until noon.	湯姆睡到中午。
He doesn't know how to swim.	他不會游泳。
He'll do whatever you ask him to.	他會做任何你要求他做的事。
Whether you like it or not doesn't matter.	你喜不喜歡沒關係。
You have no right to interfere in other people's affairs.	你沒有干涉他人事務的權力。
I'll alert Tom.	我會警告湯姆。
No problem.	沒關係。
You may take either the big box or the small one.	你可以拿大的盒子或是小的盒子。
Do you know where Tom is waiting for us?	你知道湯姆在哪裏等我們嗎？
I'm doing my homework.	我正在做我的作業。
Nature is full of mysteries.	自然充滿了神祕。
You're barking up the wrong tree.	你白費力氣了。
I'm not letting Tom do this by himself.	我不會讓湯姆獨自去做。
She would often go to the theater when she was in London.	她在倫敦的時候，曾經常去劇院。
We'll need a head hunting agency to find the right man for this executive position.	我們需要人力仲介公司幫我們找到合適的人來擔任這個管理職位。
Can anyone believe you?	誰會相信你？
He is making great progress in English.	他的英語有很大的進步。
My father has been engaged in foreign trade for many years.	我父親經營外貿多年。
She has lost weight.	她的體重減輕了。
I'm tired of your complaints.	我已經厭倦了你的投訴。
I don't want to have an operation.	我不想接受手術。
I like this color as well.	我也喜歡這顏色。
I need to try.	我需要嘗試。
He left his umbrella on the bus.	他把雨傘忘在公交車上了。
My aunt made me a new skirt.	我阿姨做了一條新裙子給我。
She used to go to the movies on Sundays.	她從前會在星期天去看電影。
Everyone knew Tom was the one who did it.	大家都知道是湯姆做的
You might not like this beer at first. It's an acquired taste.	剛開始的時候你可能不會喜歡這個啤酒。這是需要多次品嚐去習慣它的口味。
I am interested in music.	我對音樂有興趣。
I don't get what you mean.	我不明白你的意思。
Where in Turkey do you live?	你在土耳其哪兒生活?
She showed us a beautiful hat.	她給我們看了一頂漂亮的帽子。
He didn't come to the last meeting.	他最後一場會議沒來。
It can be dangerous.	它有危險。
I have no intention of asking him.	我不想問他。
I agreed to the proposal.	我同意這項建議。
It is like looking for a needle in a haystack.	這好比大海撈針。
Summer has ended.	夏天已經結束。
It's a very sad story.	這是一個非常悲傷的故事。
We're out of stock now.	我們現在缺乏庫存。
Turn off the television. I can't concentrate.	把電視關掉。我無法專心。
We need some more coffee.	我們需要多一點咖啡。
Most boys like baseball.	大部分男生喜歡棒球。
You should have told me a long time ago.	很久以前你就應該告訴我的。
Swimming is good for your health.	游泳對你的健康很好。
This is Uncle Tom's farm.	這是湯姆叔叔的農場。
"Pass me the salt, please." "Here you are."	“請把鹽遞給我。”“拿着。”
You are a student.	你是學生。
May I ask how old you are?	請問您老人家高壽？
I've finished watering the flowers.	我已經澆完花了。
Tom wanted Mary to say that she loved him.	湯姆想讓瑪麗說愛他。
Please answer this question for me.	請回答我這個問題。
Does she know your telephone number?	她知道您的電話號碼嗎?
The picture looks better at a distance.	這幅畫遠看更好。
I invited them to the party.	我邀請了他們參加派對。
He returned from China.	他從中國回來了。
The accident seemed to have something to do with the heavy snow.	事故似乎和厚厚的積雪有關。
Do we have anything I can snack on?	我們有任何我可以當零食吃的東西嗎？
I think his opinion is very important.	我認為他的意見非常重要。
I am looking forward to Christmas.	我期待聖誕節的到來。
Do you like to cook Japanese foods?	你喜歡煮日本料理嗎?
Why should it be different?	爲什麼它應該要變得不一樣？
Computers are certainly playing an important role in our life, whether we like it or not.	無論我們是否喜歡電腦，它在我們的生活中始終起着重要的作用。
Tom was all worn out.	湯姆完全筋疲力盡了。
All the boys in class worked hard.	課堂上所有的男生都很用功。
Studying abroad is very common now.	現在出國留學是很常見的了。
Tom burst into tears.	湯姆淚流滿面。
Why do I have to do that?	我爲什麼一定要那麼做？
That bicycle is too small for you.	那輛腳踏車對你來說太小了。
Do you know how to recover a deleted file?	你知道怎麼恢復已刪除的文件嗎？
Keep the dog out.	別讓狗進來。
I don't like novels without heroes.	我不喜歡沒有英雄的小說。
Is there a zoo in the park?	公園裏有動物園嗎？
Tom suggested that I change the lock on my door.	湯姆建議我換我的門鎖。
I am very, very sorry.	我非常，非常抱歉。
The best hairdressers are gay.	最好的理髮師是同性戀。
I love elderberry juice.	我愛接骨木果汁。
She studied English in the morning.	她上午學習英語。
The death penalty had been done away with in many states in the USA.	死刑在美國的很多州都被廢除了。
I understand perfectly.	我完全明白。
What do you think of him?	你覺得他怎麼樣?
Tom is an extraordinary man.	湯姆是個不尋常的人。
The phone is ringing.	電話正在響。
Could you check the tire pressure?	你能檢查一下這個輪胎的氣壓嗎？
The charge for a front row seats is 5 dollars.	第一排的座位5美元。
Obey your teachers.	要聽老師的話。
No words can express her deep sorrow.	她的悲傷無法言喻。
His house was small and old.	他的房子又小又舊。
You must get up a little earlier.	你該早一點起牀。
Please show your ticket.	請出示您的票子。
He took a week off.	他休了一週的假。
Could you please not smoke in this room?	請問你能不在房間裏吸菸嗎？
I'm sorry for the late response.	我很抱歉回覆晚了。
My brother and I are in the same class.	我的兄弟和我在一個班級。
There are about forty students in her class.	她班上大約有40個學生。
I really want to know what's going on.	我真想知道發生了什麼。
The shell of an egg is easily broken.	蛋殼容易破碎。
You've got a lot of guts.	你膽子很大。
It's said that she loves him.	據說她愛他。
I didn't like it.	我沒有喜歡過。
What do you have the first period?	你第一節課上什麼?
He is now either in Rome or in Paris.	他不是在羅馬，就是在巴黎。
He is a doctor by profession.	他的職業是醫生。
I'd like to be a guitarist.	我想要成爲吉他手。
Starting tomorrow, it's going to snow for a week.	雪從明天開始下，一直持續一個星期。
My bicycle has a flat tire.	我的腳踏車輪胎沒氣了。
Of course she can speak English.	她當然會講英語。
Take things a little more seriously.	對事情比較正經嚴肅。
Could I have a pillow and blanket?	給我一個枕頭和毛毯好嗎？
Get out of here.	離開這裡。
Stir the soup.	攪一下湯。
We're almost broke.	我們快破產了。
How many apples do you want?	你要多少個蘋果？
There's a telephone in my room.	我的房間裡有一支電話。
What prevented you from coming earlier?	為什麼你不能早點來?
I don't need your help.	我不需要你的幫助。
I'm at the airport now.	我現在在機場。
Haven't we met before?	我們以前沒見過嗎？
That's my final answer.	這是我的最終回答。
I'm tired of her complaints.	我厭倦了她的抱怨。
You must keep quiet for a few days.	你該安靜幾天。
He asked her where her mother was.	他問她她的母親在哪裡。
This law is applicable to all cases.	此法適用於所有情況。
I want to go with you.	我想和你一起去。
It's healthy to breathe deeply.	深呼吸有益健康。
When she saw that they had no schools, she started one.	當她發現他們還沒有學校，她就辦了一個。
I'm sure you'll love what we have on the menu tonight.	我肯定你會喜歡我們今晚的菜餚。
Have you taken your medicine yet?	您已經吃過藥了嗎？
The couple is walking hand in hand.	這對夫妻手牽手走路。
There was a car accident yesterday.	昨天發生了一場車禍。
Life is like a box of chocolates.	生活就像一盒巧克力。
If she was displeased, she never showed it.	如果她不高興, 她從來不表現出來。
I saw him running.	我看見了他跑步。
Stick a stamp on the envelope.	把郵票貼在信封上。
Do you want to know why I quit?	您想知道爲什麼我要離開嗎？
Who was in charge of today's party?	誰負責今天的派對？
Is there an app for that?	有它的應用嗎？
If a sick person folds one thousand paper cranes, her wish will come true.	如果一個病人折一千隻紙鶴, 她的願望就會成真。
Never forget to put out the fire.	永遠不要忘記關火。
Do you plan to stay long?	你打算長時間停留嗎？
I haven't seen Tom since 1988.	我從1988年起就沒有看過湯姆了。
We made it out of there.	我們從那裡逃了出來。
My father works at the factory.	我父親在工廠工作。
I usually go to bed before ten.	我通常在十點前上牀睡覺。
What is my room number?	我的房間號是多少？
The man got away from the city.	這名男子逃離了這個城市。
I don't blame you for doing that.	我不怪你那樣做。
I missed you.	我想你。
I'll give you anything that you want.	我會給你任何你想要的東西。
I know the girl playing tennis.	我認識這個打網球的女孩。
Thank you for inviting me to dinner.	謝謝你邀請我吃飯。
She greeted us with a smile.	她面帶微笑向我們打招呼。
Entering the house, I tripped over the mat.	進家門後，我被墊子絆倒了。
If we knew what we were doing, it wouldn't be called research, would it?	如果我們知道我們在做什麼，那麼這不能稱之爲研究，是嗎？
The bookcase is level with the table.	書架和桌子齊平。
There's too much salt in this soup.	這湯裏鹽放多了。
You're an optimist.	你是個樂觀主義者。
The box is too heavy to carry.	這個箱子太重了無法攜帶。
Tom was there this morning.	湯姆早上去過那裏。
I don't understand what he said.	我不明白他說的話。
I treated her as my own daughter.	我把她當成是我自己的女兒一樣對待。
We haven't finished eating the watermelon yet.	我們還沒吃完這個西瓜。
He did not know what to say.	他不知道說什麼好。
Have you heard from him?	你收到他的音訊了嗎?
I'll give you a little tip.	我會給你些提示。
The oranges in this bag are rotten.	這個袋子裡的柳橙都爛了。
There is no point in pretending to be sick.	裝病是沒用的。
He wrote a book about a jungle adventure.	他寫了一本關於叢林冒險的書。
Both you and I are men.	你和我都是男人。
The boy made fun of the girl.	這個男孩取笑了這個女孩。
Second semester has ended.	第二學期結束了。
Maybe you could draw me a picture.	你可以給我畫張畫。
She cut the apple with a knife.	她用刀子切蘋果。
This house belongs to my uncle.	這棟房子屬於我的叔叔。
That car belongs in a museum.	那輛車屬於一家博物館。
You can borrow my car anytime.	你隨時可以借用我的車。
He is one of my neighbors.	他是我的一個鄰居。
I carried the box on my shoulder.	我把盒子扛在肩上。
Is this snake safe to touch?	摸這條蛇安全嗎?
They told me it was your fault.	他們告訴我這是你的錯。
Everybody knows that he is honest.	大家都知道他是誠實的。
I just don't want to lose you.	我只是不想失去你。
I told them to send me another ticket.	我請他們再寄給我一張票。
I saw it in the newspaper.	我在報紙上看到了它。
Tom finally understood it.	湯姆最終明白了。
The teacher pointed her finger at me and asked me to come with her.	教師用手指指着我，要我跟她走。
Have you ever broken your glasses?	你摔壞過你的眼鏡嗎？
Don't shout at me.	別對著我吼。
News of the recent blast is all over the radio.	收音機廣播充斥著有關最近爆炸的新聞。
Don't you miss anything?	難道你不想念什麼嗎？
They were not listening to music.	他們沒在聽音樂。
I do not drink coffee.	我不喝咖啡。
Everybody wants to sit beside her.	大家都想坐在她旁邊。
You may think those shoes are in fashion, but they aren't.	你可能認為那些鞋子很時髦, 但是他們不是。
He picked flowers for her.	他爲她摘了些花。
I can do it in a week.	我可以在一週內做。
You're not satisfied, are you?	你並不滿意，對吧？
She weeded the garden.	她給花園除了草。
Afraid of hurting his feelings, I didn't tell him the truth.	怕傷害了他的感情，我沒有告訴他真相。
Tom is a hick.	湯姆是個鄉巴佬。
I don't want to miss my train.	我不想錯過我的火車。
I want to go to Seattle.	我想去西雅圖。
Tom has forgotten how to do that.	湯姆忘了怎麼做。
The army forced him to resign.	軍隊強迫他辭職。
How about going to see a movie tonight?	今晚看電影怎麼樣？
I need it ASAP.	我儘快需要。
I'm in a bad mood today.	我今天的心情不好。
In the winter, many older people slip on ice and fall down.	在冬天，很多老人在冰上滑倒。
Something might have happened to her.	她可能出什麼事了。
Can I see that one?	我能看那個嗎？
There's enough time for a quick snack.	有足夠的時間很快地吃一下點心。
I stayed at home last night.	我昨晚待在家裡。
I don't have the address now.	我沒有現在的地址。
Do you know me?	你還認識我嗎？
I remember the first time.	我記得第一次。
I don't think he'll say yes.	我不認為他會說好。
Tom doesn't really love Mary.	湯姆不是真的愛瑪麗。
Money talks.	金錢萬能。
He hid himself behind the door.	他把自己藏在門後面。
We imported meat from Argentina.	我們從阿根廷進口了肉類。
Christmas is soon.	聖誕節快到了。
I'm in love with her.	我愛上她了。
I ran away in a hurry.	我趕快跑走了。
With the weather getting worse, the departure was put off.	由於天氣變差，出發延遲了。
Tom's house has a nice garden.	湯姆的住宅有一個不錯的花園。
I was invited to their wedding.	我被邀請參加他們的婚禮。
I lost.	我迷失了。
I quit smoking two years ago.	我兩年前戒菸了。
Apart from some fruit, he hasn't eaten anything.	除了水果，他什麼都沒吃。
Why do you need this money?	你為什麼需要這筆錢？
These fireworks are spectacular!	這些焰火真壯觀！
He wants more.	他想要更多。
Passengers should board the train now.	乘客應該現在下火車了。
When was this university founded?	這所大學是什麼時候建的？
She dived into the swimming pool.	她跳入了游泳池。
You should bring your passport to the bank.	你應該帶護照去銀行。
I like oranges better than apples.	我喜歡橘子勝過蘋果。
I got a farewell present from everyone.	每個人都送了我一份歡送禮物。
Which tooth hurts?	哪顆牙痛？
Tom didn't have enough money to pay the rent.	湯姆沒有足夠的錢付租金。
I'm thirsty.	我渴了。
I don't have a prejudice against foreign workers.	我對外籍員工沒有偏見。
I see her sweeping the room.	我看見她在打掃房間。
Are you angry?	您生氣了嗎？
Please pass me the butter.	請把黃油遞給我。
I can't do any more than this.	我無法再做下去了。
Let's take the children to the zoo.	讓我們帶孩子們去動物園。
I majored in chemistry at the university.	我在大學主修化學。
He broke the window on purpose.	他故意打破了窗戶。
I always study hard.	我總是用功讀書。
The talks will last three days.	這場談話將要持續三天。
Please don't tell your parents this.	請不要告訴你父母。
Dog is man's best friend.	狗是人類最好的朋友。
We'll begin work soon.	我們立即開始施工。
In a way you are right, but I still have doubts.	在某種程度上你是對的，但我還是有疑問。
I wrote this book.	我寫了這本書。
He told the students to be quiet.	他告訴了學生要安靜。
Didn't you lock up your car?	你沒有把你的車上鎖嗎？
What is the name of this river?	這條河叫什麼名字?
She had died before I arrived.	她在我到達之前去世了。
Take good care of yourself.	照顧好你自己。
My underpants are wet.	我的內褲是濕的。
I don't need you or anybody else.	我不需要你或別的人。
He knows who they are.	他知道他們是誰。
Tom can't afford this.	湯姆買不起這個東西。
Tom didn't want to disappoint Mary.	湯姆不想讓瑪麗失望。
It was very kind of you to lend me an umbrella.	你借給我傘真好。
He put on the red jacket.	他穿上了紅色的外套。
He offered his help to us.	他想我們提供了幫助。
The moon is the earth's only satellite.	月球是地球唯一的衛星。
April showers bring May flowers.	四月春雨，五月花。
